City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,La Rioja,ES,42.25,-2.5,54.0,87,0,3.36,clear sky
83,Sur,OM,22.57,59.53,71.29,61,0,3.4,clear sky
84,Takoradi,GH,4.88,-1.76,79.16,82,51,4.41,broken clouds
85,Bahia Blanca,AR,-38.72,-62.27,74.66,20,0,8.68,clear sky
86,Half Moon Bay,US,37.46,-122.43,73.0,63,5,3.36,clear sky
87,Butaritari,KI,3.07,172.79,81.52,80,66,19.15,moderate rain
88,Chateau-Gontier,FR,47.83,-0.7,55.4,87,90,4.7,overcast clouds
89,Laguna,US,38.42,-121.42,77.0,29,0,1.99,clear sky
90,Cap-Aux-Meules,CA,47.38,-61.86,33.8,59,77,17.22,broken clouds
91,Isangel,VU,-19.55,169.27,78.03,74,67,14.94,broken clouds
92,Punta Arenas,CL,-53.15,-70.92,53.6,66,75,38.03,broken clouds
93,Narsaq,GL,60.92,-46.05,26.6,73,40,2.24,scattered clouds
94,New Norfolk,AU,-42.78,147.06,51.01,75,0,2.71,clear sky
95,Vierzon,FR,47.21,2.06,50.0,100,0,4.54,mist
96,Kalabo,ZM,-14.97,22.68,81.5,33,85,2.35,overcast clouds
97,Carnarvon,AU,-24.87,113.63,71.6,78,90,3.31,overcast clouds
98,Khatanga,RU,71.97,102.5,-9.29,84,0,6.26,clear sky
99,Daru,PG,-9.08,143.21,79.66,86,15,9.4,few clouds
100,Goreloye,RU,52.94,41.5,43.72,91,100,4.25,light rain
101,Carutapera,BR,-1.2,-46.02,80.24,75,99,6.93,overcast clouds
102,Barrow,US,71.29,-156.79,21.2,85,75,12.75,broken clouds
103,Saravan,AM,39.72,45.65,60.8,38,75,9.17,broken clouds
104,Cherskiy,RU,68.75,161.3,5.02,91,100,5.5,overcast clouds
105,Arraial Do Cabo,BR,-22.97,-42.03,75.2,88,75,12.75,broken clouds
106,Brae,GB,60.4,-1.35,50.0,71,39,31.09,scattered clouds
107,Vestmanna,FO,62.16,-7.17,48.2,81,40,20.8,scattered clouds
108,Grand Gaube,MU,-20.01,57.66,64.99,63,0,3.0,light rain
109,Namibe,AO,-15.2,12.15,72.52,79,21,2.21,light rain
110,Keti Bandar,PK,24.14,67.45,78.78,62,0,9.06,clear sky
111,Vao,NC,-22.67,167.48,73.44,87,14,14.54,few clouds
112,Montepuez,MZ,-13.13,39.0,71.74,82,83,5.48,light rain
113,Paamiut,GL,61.99,-49.67,26.67,83,80,12.57,broken clouds
114,Morlaix,FR,48.58,-4.0,55.99,100,90,14.99,light intensity drizzle
115,Labuhan,ID,-6.88,112.21,79.65,78,100,7.2,light rain
116,Panguna,PG,-6.32,155.48,72.18,94,94,0.89,overcast clouds
117,Kutum,SD,14.2,24.67,76.5,26,64,11.34,broken clouds
118,Bambous Virieux,MU,-20.34,57.76,68.0,64,40,11.41,scattered clouds
119,Padang,ID,-0.95,100.35,77.86,78,95,4.16,moderate rain
120,Sinnamary,GF,5.38,-52.95,82.78,78,35,13.6,scattered clouds
121,Caravelas,BR,-17.71,-39.25,76.71,79,99,7.7,overcast clouds
122,Mwinilunga,ZM,-11.74,24.43,68.9,62,68,2.62,broken clouds
123,Berlevag,NO,70.86,29.09,35.6,69,75,14.99,broken clouds
124,Ferrol,ES,43.48,-8.24,62.6,77,20,12.75,few clouds
125,Vanimo,PG,-2.67,141.3,78.66,77,100,6.6,overcast clouds
126,Batagay-Alyta,RU,67.8,130.41,3.13,93,100,1.28,overcast clouds
127,Rio Grande,BR,-32.03,-52.1,64.0,69,0,3.0,clear sky
128,Soyo,AO,-6.13,12.37,77.86,84,47,9.57,scattered clouds
129,Paraopeba,BR,-19.28,-44.4,71.6,83,75,2.24,thunderstorm
130,Barmer,IN,25.75,71.38,75.24,19,0,6.71,clear sky
131,Ongandjera,NA,-17.88,15.07,78.15,44,67,13.31,light rain
132,Chicama,PE,-7.84,-79.15,64.4,77,75,11.41,mist
133,Victoria,HK,22.29,114.16,73.99,81,85,1.01,overcast clouds
134,Mercedes,AR,-34.65,-59.43,68.0,31,96,8.01,overcast clouds
135,Bilma,NE,18.69,12.92,75.47,19,0,7.94,clear sky
136,El Vigia,VE,8.62,-71.65,85.53,67,54,2.28,light rain
137,Utica,US,43.1,-75.23,39.0,71,95,5.99,overcast clouds
138,Broken Hill,AU,-31.95,141.43,51.8,93,90,19.46,overcast clouds
139,Nanga Eboko,CM,4.68,12.37,71.47,85,19,2.8,few clouds
140,Cidreira,BR,-30.18,-50.21,64.8,67,75,9.42,broken clouds
141,Port Blair,IN,11.67,92.75,80.49,84,99,12.91,moderate rain
142,Hilo,US,19.73,-155.09,84.2,66,40,5.82,scattered clouds
143,Semnan,IR,35.57,53.4,54.16,40,0,0.74,clear sky
144,Marystown,CA,47.17,-55.15,39.0,100,100,1.01,overcast clouds
145,Nanakuli,US,21.39,-158.15,84.0,58,1,12.75,clear sky
146,Norman Wells,CA,65.28,-126.83,14.0,92,75,8.05,light snow
147,Izumo,JP,35.37,132.77,46.4,93,75,5.82,broken clouds
148,Pyatnitskoye,RU,50.42,37.83,50.59,95,100,5.39,overcast clouds
149,Tortoli,IT,39.93,9.66,62.6,88,5,9.17,clear sky
150,Hamilton,US,39.18,-84.53,50.0,57,75,5.82,broken clouds
